budget,risk_tolerance,investment_horizon,income_stability,investment_type,market_knowledge,debt_ratio,emergency_fund,investment_goal,age,fitness
5000,7,5,8,Growth,6,0.2,1,Retirement,35,1
3000,4,3,6,Value,4,0.3,1,Education,28,0
7500,8,10,9,Growth,8,0.15,1,Wealth,42,1
2000,3,2,5,Dividend,3,0.4,0,Home,25,0
10000,9,15,9,Growth,9,0.1,1,Retirement,38,1
4500,5,5,7,Value,5,0.25,1,Education,32,1
1500,2,1,4,Dividend,2,0.5,0,Emergency,22,0
8000,8,12,8,Growth,7,0.18,1,Wealth,45,1
3500,5,4,6,Value,5,0.3,0,Home,30,0
6000,7,8,7,Growth,6,0.2,1,Retirement,40,1
2500,4,2,5,Dividend,4,0.35,0,Education,27,0
9000,9,10,9,Growth,8,0.12,1,Wealth,50,1
4000,6,5,7,Value,6,0.22,1,Home,33,1
1800,3,2,4,Dividend,3,0.45,0,Emergency,24,0
7000,8,10,8,Growth,7,0.15,1,Retirement,44,1
3200,5,3,6,Value,5,0.28,0,Education,29,0
12000,10,20,10,Growth,10,0.05,1,Wealth,55,1
5500,7,7,8,Growth,7,0.18,1,Retirement,38,1
2200,4,2,5,Dividend,4,0.38,0,Home,26,0
8500,8,15,9,Growth,8,0.1,1,Wealth,48,1
3800,5,4,6,Value,5,0.25,0,Education,31,0
6500,7,8,8,Growth,7,0.15,1,Retirement,41,1
2800,4,3,5,Dividend,4,0.32,0,Emergency,28,0
11000,9,18,9,Growth,9,0.08,1,Wealth,52,1
4800,6,6,7,Value,6,0.2,1,Home,36,1
2000,3,2,4,Dividend,3,0.4,0,Education,25,0
9500,8,12,8,Growth,8,0.12,1,Retirement,49,1
3500,5,4,6,Value,5,0.3,0,Home,32,0
15000,10,25,10,Growth,10,0.05,1,Wealth,60,1
5200,7,7,8,Growth,7,0.18,1,Retirement,39,1